CU vs USTA — All Athletes — Whole Match — Totals
Matches,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
2024-2025 Season,1,0,32,42,43.2%,0,43,18,70.5%,0,6,19,74,1.35,74.3%,0,32,2,12,4,50,2.24,0,42,9,70,0.471,0,2,4,6,0,41,68,0,17,0,7,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Set,MP,0,S Pts W,S Pts L,S W %,0,SR Pts W,SR Pts L,SO %,0,Ace,S Err,S Att,S Rtg,S %,0,SR Perf,SR Good,SR Poor,SR Err,SR Att,SR Rtg,0,Kill,A Err,Att,H %,0,B Solo,B Assist,B Total,0,Assist,A Att,0,Digs,0,Sent,Received,0,Violations,BHE
1,1,0,10,15,40.0%,0,15,7,68.2%,0,1,9,25,0.92,64.0%,0,12,1,6,1,20,2.2,0,18,3,28,0.536,0,1,2,3,0,18,28,0,4,0,1,4,0,0,0
2,1,0,6,18,25.0%,0,19,5,79.2%,0,1,6,24,1.33,75.0%,0,14,0,3,1,18,2.5,0,14,4,26,0.385,0,0,1,1,0,14,26,0,7,0,3,2,0,0,0
3,1,0,16,9,64.0%,0,9,6,60.0%,0,4,4,25,1.8,84.0%,0,6,1,3,2,12,1.92,0,10,2,16,0.5,0,1,1,2,0,9,14,0,6,0,3,0,0,0,0
4,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,-,0,0,0,-,0,0,0,0,-,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
