Position,Age-Group,Rating,Spike Reach (cm),Spike Touch (in),Block Touch (cm),Block Touch (in),Pro Agility (sec),Attack Velocity (kmph),Spin Velocity (kmph),Reactive Strength Index,Counter Movement Jump
Setter,Senior,Best,372.11,147,358.1,141,3.1,N/A,109,,
Setter,Senior,Average,345.75,136,319.67,126,3.25,N/A,94,,
Setter,Senior,Minimum,335.3,132,312.39,123,3.45,N/A,80,,
Setter,Junior,Best,354.33,140,335.28,132,3.08,N/A,TBD,,
Setter,Junior,Average,338.19,133,314.33,124,3.23,N/A,TBD,,
Setter,Junior,Minimum,322.58,127,300.99,119,3.44,N/A,TBD,,
Setter,Youth,Best,340.36,134,316.23,125,3.36,N/A,95,,
Setter,Youth,Average,336.55,133,314.64,124,3.4,N/A,84,,
Setter,Youth,Minimum,332.74,131,312.42,123,3.43,N/A,72,,
Left Side,Senior,Best,353.1,139,322.61,127,3.06,112,114,,
Left Side,Senior,Average,346.46,136,319.52,126,3.21,108.75,107.29,,
Left Side,Senior,Minimum,340.4,134,315,124,3.33,107,102,,
Left Side,Junior,Best,367.03,145,331.47,131,3,113.67,118,,
Left Side,Junior,Average,351.75,138,323.01,127,3.23,105.17,106.64,,
Left Side,Junior,Minimum,341.63,135,313.69,124,3.52,94,99.3,,
Left Side,Youth,Best,350.52,138,327.66,129,3.31,101,90,,
Left Side,Youth,Average,342.9,135,320.68,126,3.49,93.33,86.91,,
Left Side,Youth,Minimum,334.01,132,312.42,123,3.69,89,80,,
Opposite,Senior,Best,373.4,147,342.9,135,3.13,115,116,,
Opposite,Senior,Average,363.25,143,331.45,130,3.36,115,88.25,,
Opposite,Senior,Minimum,353.1,139,319.99,126,3.55,115,10,,
Opposite,Junior,Best,382.27,151,347.98,137,3.22,107,107.33,,
Opposite,Junior,Average,363.32,143,333.42,131,3.27,107,107.33,,
Opposite,Junior,Minimum,347.98,137,323.85,128,3.36,107,107.33,,
Libero,Senior,Best,312.4,123,,,3.16,,,,
Libero,Senior,Average,312.4,123,,,3.27,,,,
Libero,Senior,Minimum,312.4,123,,,3.38,,,,
Libero,Junior,Best,347.98,137,326.39,129,3.16,,92.67,,
Libero,Junior,Average,318.48,125,293.66,116,3.23,,92.67,,
Libero,Junior,Minimum,302.26,119,283.21,112,3.3,,92.67,,
Libero,Youth,Best,341.63,135,314.96,124,3.42,98,,,
Libero,Youth,Average,330.62,130,309.46,122,3.57,98,,,
Libero,Youth,Minimum,322.58,127,306.07,121,3.71,98,,,
Middle,Senior,Best,365.8,144,335.31,132,3.1,98,117,,
Middle,Senior,Average,353.3,139,327.89,129,3.24,93.83,107,,
Middle,Senior,Minimum,349.3,138,323.85,128,3.29,87,92,,
Middle,Junior,Best,372.11,147,339.09,134,3.1,102,111.3,,
Middle,Junior,Average,340.38,134,314.6,124,3.3,90.73,103.99,,
Middle,Junior,Minimum,309.88,122,281.94,111,3.73,83,98,,
Middle,Youth,Best,350.52,138,328.93,130,3.33,100,92,,
Middle,Youth,Average,343.32,135,323.22,127,3.53,92.4,86,,
Middle,Youth,Minimum,332.74,131,317.5,125,3.72,85,82,,
