No.,Name,Pos.,Yr.,Ht.,Hometown
4,Bryce Stockford ,Middle Hitter,2,"6'3""","Grand Bay-Westfield, NB"
5,Austin Trites ,Libero,2,"5'7""","Stilesville, NB"
7,Jack Hillier ,Outside Hitter,2,"5'10""","Gander, NL"
8,Shane Huggard ,Outside Hitter,2,"6'3""","Hoyt, NB"
9,Sam Reeder ,Setter,2,"6'1""","Riverview, NB"
10,Liam Rafferty ,Middle Hitter,2,"6'4""","Riverview, NB"
11,Mason Stefaniuk ,Setter,2,"5'10""","Regina, SK"
12,Noah MacDonald ,Middle Hitter,2,"6'5""","Riverview, NB"
13,Cole Wilson ,Outside Hitter / Libero,1,"6'1""","Moose Jaw, SK"
14,Francois Benoit ,Outside Hitter,1,"6'3""","Dieppe, NB"
15,Mason MacDougall ,Middle Hitter,1,"6'5""","Wellington, NS"
16,Payton Sanipass ,Outside Hitter,2,"6'2""","Dieppe, NB"
17,Miguel Gionet ,Middle Hitter,2,"6'4""","Dieppe, NB"
18,Kyle Barnes ,Middle Hitter,1,"6'4""","Gander, NL"
19,Evan King ,Setter,1,"6'2""","Carmanville, NL"
21,Connor Kirkland ,Middle Hitter,1,"6'5""","Mermaid, PE"
